頻道,訊息ID,發送者,匹配檔案,票數,URL
385,1472348386714849381,Pokétwo#8236,24.png,99,https://cdn.discordapp.com/attachments/1468632834016022634/1472348386874101780/pokemon.jpg?ex=6a7aef8a&is=6a799e0a&hm=9a7df57b0dfe20b75b0d290d104bd751d237cf26b39a93e7045e2dcd9f8b1ae7&
372,1472491404973441098,Pokétwo#8236,11.png,111,https://cdn.discordapp.com/attachments/1468632833882067033/1472491405451460670/pokemon.jpg?ex=6a7acbfc&is=6a797a7c&hm=494bb173dc5cb3bfcff30edd31e212866fc616da523d7849f5f6222e6d2d9fa5&
278,1472283791568535603,Pokétwo#8236,532.png,88,https://cdn.discordapp.com/attachments/1468632832334364830/1472283791652290641/pokemon.jpg?ex=6a7ab361&is=6a7961e1&hm=61f551dc451f52a72c72323447cc469d0e997ccd7a42be76966210f71bd41f27&
376,1472416543756255446,Pokétwo#8236,258.png,72,https://cdn.discordapp.com/attachments/1468632833882067037/1472416544108711967/pokemon.jpg?ex=6a7a8644&is=6a7934c4&hm=04fa4ce3ff4dfe32b6656cb88e9bf7516af35f7a3e6a12b8f5c8f2d114f55b0d&
96,1472455619964436530,Pokétwo#8236,692.png,18,https://cdn.discordapp.com/attachments/1468632828152385639/1472455620102721577/pokemon.jpg?ex=6a7aaaa8&is=6a795928&hm=2963eda497f3bb5702ef1cab23071d8c49034b81b9f15207f7dbb8b4e2c2ee6a&
465,1472400607288623267,Pokétwo#8236,915.png,71,https://cdn.discordapp.com/attachments/1468632835303936118/1472400607737548967/pokemon.jpg?ex=6a7a776c&is=6a7925ec&hm=d09ef5286d0f5d89bffd6b5ff53b01b29f41b7acbcf258cc686163bce8def311&
374,1472471507060920553,Pokétwo#8236,582.png,31,https://cdn.discordapp.com/attachments/1468632833882067035/1472471507140608132/pokemon.jpg?ex=6a7ab974&is=6a7967f4&hm=595642abb44545e052197e21b8cbc9230bcb817c51958c5d06be189c2fdffebc&
232,1482909743512289355,Pokétwo#8236,187.png,37,https://cdn.discordapp.com/attachments/1468632831021551634/1482909743780597970/pokemon.jpg?ex=6a7a7752&is=6a7925d2&hm=2c8a3894768fb7e5ffa84f5a1e6badb31718a7adecf3508bb199fd4cfee7fab5&
76,1472490199367024794,Pokétwo#8236,854.png,54,https://cdn.discordapp.com/attachments/1468632827678560293/1472490199585001626/pokemon.jpg?ex=6a7acadd&is=6a79795d&hm=5e2f2d261cb66a9591601f5ce9750f20558c867f54df95602f885e36288e3a7b&
181,1472170631792689203,Pokétwo#8236,171.png,45,https://cdn.discordapp.com/attachments/1468632830069182490/1472170631922585641/pokemon.jpg?ex=6a7af2be&is=6a79a13e&hm=451ed1d30a31b62f2c78312124ca842d47f807291c761159f972860dcbde3790&
